C26.017;Abdominal Injuries;D000007
C02.782;Togaviridae Infections;D014036
C07.465;Tongue Diseases;D014060
C04.588;Tongue Neoplasms;D014062
C07.465;Tongue Neoplasms;D014062
C07.465;Tongue, Fissured;D014063
C07.465;Tongue, Hairy;D014064
C04.588;Tonsillar Neoplasms;D014067
C07.550;Tonsillar Neoplasms;D014067
C09.647;Tonsillar Neoplasms;D014067
C09.775;Tonsillar Neoplasms;D014067
C07.550;Tonsillitis;D014069
C08.730;Tonsillitis;D014069
C09.775;Tonsillitis;D014069
C07.650;Tooth Abnormalities;D014071
C07.793;Tooth Abnormalities;D014071
C16.131;Tooth Abnormalities;D014071
C07.793;Tooth Abrasion;D014072
C07.793;Tooth Discoloration;D014075
C07.793;Tooth Diseases;D014076
C07.793;Tooth Erosion;D014077
C07.793;Tooth Eruption, Ectopic;D014079
C07.793;Tooth Fractures;D014082
C26.900;Tooth Fractures;D014082
C07.793;Tooth Avulsion;D014084
C26.900;Tooth Avulsion;D014084
C07.465;Tooth Migration;D014085
C07.465;Tooth Mobility;D014086
C07.793;Tooth Resorption;D014091
C07.793;Tooth, Impacted;D014095
C07.650;Tooth, Supernumerary;D014096
C07.793;Tooth, Supernumerary;D014096
C16.131;Tooth, Supernumerary;D014096
C07.793;Tooth, Unerupted;D014097
C07.793;Toothache;D014098
C10.228;Torticollis;D014103
C10.597;Torticollis;D014103
C01.539;Toxemia;D014115
C03.335;Toxocariasis;D014120
C03.701;Toxocariasis;D014120
C03.752;Toxoplasmosis;D014123
C03.701;Toxoplasmosis, Animal;D014124
C03.752;Toxoplasmosis, Animal;D014124
C03.752;Toxoplasmosis, Congenital;D014125
C10.228;Toxoplasmosis, Congenital;D014125
C16.614;Toxoplasmosis, Congenital;D014125
C03.300;Toxoplasmosis, Ocular;D014126
C03.752;Toxoplasmosis, Ocular;D014126
C11.294;Toxoplasmosis, Ocular;D014126
C08.907;Tracheal Diseases;D014133
C04.588;Tracheal Neoplasms;D014134
C08.785;Tracheal Neoplasms;D014134
C08.907;Tracheal Neoplasms;D014134
C08.907;Tracheal Stenosis;D014135
C08.730;Tracheitis;D014136
C08.907;Tracheitis;D014136
C08.127;Tracheobronchomegaly;D014137
C08.695;Tracheobronchomegaly;D014137
C08.907;Tracheobronchomegaly;D014137
C16.131;Tracheobronchomegaly;D014137
C06.267;Tracheoesophageal Fistula;D014138
C06.405;Tracheoesophageal Fistula;D014138
C08.702;Tracheoesophageal Fistula;D014138
C08.907;Tracheoesophageal Fistula;D014138
C01.252;Trachoma;D014141
C01.539;Trachoma;D014141
C11.187;Trachoma;D014141
C11.204;Trachoma;D014141
C11.294;Trachoma;D014141
C14.240;Transposition of Great Vessels;D014188
C14.280;Transposition of Great Vessels;D014188
C16.131;Transposition of Great Vessels;D014188
C03.335;Trematode Infections;D014201
C10.597;Tremor;D014202
C01.252;Trench Fever;D014205
C01.252;Treponemal Infections;D014211
C03.335;Trichinellosis;D014235
C03.752;Trichomonas Infections;D014245
C03.752;Trichomonas Vaginitis;D014247
C13.351;Trichomonas Vaginitis;D014247
C03.335;Trichostrongyloidiasis;D014252
C03.335;Trichostrongylosis;D014253
C03.335;Trichuriasis;D014257
C14.280;Tricuspid Valve Insufficiency;D014262
C14.280;Tricuspid Valve Prolapse;D014263
C14.280;Tricuspid Valve Stenosis;D014264
C10.292;Trigeminal Neuralgia;D014277
C14.240;Trilogy of Fallot;D014286
C14.280;Trilogy of Fallot;D014286
C16.131;Trilogy of Fallot;D014286
C10.597;Trismus;D014313
C03.858;Trombiculiasis;D014323
C04.557;Trophoblastic Neoplasms;D014328
C04.850;Trophoblastic Neoplasms;D014328
C13.703;Trophoblastic Neoplasms;D014328
C01.539;Tropical Medicine;D014330
C14.240;Truncus Arteriosus, Persistent;D014339
C14.280;Truncus Arteriosus, Persistent;D014339
C16.131;Truncus Arteriosus, Persistent;D014339
C03.752;Trypanosomiasis;D014352
C03.752;Trypanosomiasis, African;D014353
C03.701;Trypanosomiasis, Bovine;D014354
C03.752;Trypanosomiasis, Bovine;D014354
C03.752;Chagas Disease;D014355
C01.252;Tuberculoma;D014375
C01.252;Tuberculosis;D014376
C01.252;Tuberculosis, Avian;D014379
C01.252;Tuberculosis, Bovine;D014380
C01.252;Tuberculosis, Cardiovascular;D014381
C01.539;Tuberculosis, Cardiovascular;D014381
C14.260;Tuberculosis, Cardiovascular;D014381
C01.252;Tuberculosis, Cutaneous;D014382
C01.539;Tuberculosis, Cutaneous;D014382
C17.800;Tuberculosis, Cutaneous;D014382
C01.252;Tuberculosis, Endocrine;D014383
C19.927;Tuberculosis, Endocrine;D014383
C01.252;Tuberculosis, Female Genital;D014384
C13.351;Tuberculosis, Female Genital;D014384
C01.252;Tuberculosis, Gastrointestinal;D014385
C06.405;Tuberculosis, Gastrointestinal;D014385
C01.252;Tuberculosis, Hepatic;D014386
C06.552;Tuberculosis, Hepatic;D014386
C01.252;Tuberculosis, Laryngeal;D014387
C08.360;Tuberculosis, Laryngeal;D014387
C08.730;Tuberculosis, Laryngeal;D014387
C09.400;Tuberculosis, Laryngeal;D014387
C01.252;Tuberculosis, Lymph Node;D014388
C15.604;Tuberculosis, Lymph Node;D014388
C01.252;Tuberculosis, Male Genital;D014389
C12.294;Tuberculosis, Male Genital;D014389
C12.672;Tuberculosis, Male Genital;D014389
C01.252;Tuberculosis, Meningeal;D014390
C10.228;Tuberculosis, Meningeal;D014390
C01.252;Tuberculosis, Miliary;D014391
C01.252;Tuberculosis, Ocular;D014392
C01.539;Tuberculosis, Ocular;D014392
C11.294;Tuberculosis, Ocular;D014392
C01.252;Tuberculosis, Oral;D014393
C07.465;Tuberculosis, Oral;D014393
C01.252;Tuberculosis, Osteoarticular;D014394
C01.539;Tuberculosis, Osteoarticular;D014394
C05.116;Tuberculosis, Osteoarticular;D014394
C01.252;Peritonitis, Tuberculous;D014395
C01.539;Peritonitis, Tuberculous;D014395
C06.844;Peritonitis, Tuberculous;D014395
C01.252;Tuberculosis, Pleural;D014396
C08.528;Tuberculosis, Pleural;D014396
C08.730;Tuberculosis, Pleural;D014396
C01.252;Tuberculosis, Pulmonary;D014397
C08.381;Tuberculosis, Pulmonary;D014397
C08.730;Tuberculosis, Pulmonary;D014397
C01.252;Tuberculosis, Renal;D014398
C12.672;Tuberculosis, Renal;D014398
C12.777;Tuberculosis, Renal;D014398
C13.351;Tuberculosis, Renal;D014398
C01.252;Tuberculosis, Spinal;D014399
C01.539;Tuberculosis, Spinal;D014399
C05.116;Tuberculosis, Spinal;D014399
C01.252;Tuberculosis, Splenic;D014400
C15.604;Tuberculosis, Splenic;D014400
C01.252;Tuberculosis, Urogenital;D014401
C12.672;Tuberculosis, Urogenital;D014401
C13.351;Tuberculosis, Urogenital;D014401
C04.445;Tuberous Sclerosis;D014402
C04.651;Tuberous Sclerosis;D014402
C04.700;Tuberous Sclerosis;D014402
C10.500;Tuberous Sclerosis;D014402
C10.562;Tuberous Sclerosis;D014402
C10.574;Tuberous Sclerosis;D014402
C16.131;Tuberous Sclerosis;D014402
C16.320;Tuberous Sclerosis;D014402
C01.252;Tularemia;D014406
C02.928;Tumor Virus Infections;D014412
C04.619;Tumor Virus Infections;D014412
C04.925;Tumor Virus Infections;D014412
C12.706;Turner Syndrome;D014424
C13.351;Turner Syndrome;D014424
C14.240;Turner Syndrome;D014424
C14.280;Turner Syndrome;D014424
C16.131;Turner Syndrome;D014424
C16.320;Turner Syndrome;D014424
C19.391;Turner Syndrome;D014424
C16.131;Twins, Conjoined;D014428
C01.252;Typhoid Fever;D014435
C01.252;Typhus, Endemic Flea-Borne;D014437
C01.252;Typhus, Epidemic Louse-Borne;D014438
C26.088;Ulna Fractures;D014458
C26.404;Ulna Fractures;D014458
C10.597;Unconsciousness;D014474
C04.182;Urachal Cyst;D014496
C12.777;Uremia;D014511
C13.351;Uremia;D014511
C12.777;Ureteral Calculi;D014514
C13.351;Ureteral Calculi;D014514
C12.777;Ureteral Diseases;D014515
C13.351;Ureteral Diseases;D014515
C04.588;Ureteral Neoplasms;D014516
C12.758;Ureteral Neoplasms;D014516
C12.777;Ureteral Neoplasms;D014516
C13.351;Ureteral Neoplasms;D014516
C12.777;Ureteral Obstruction;D014517
C13.351;Ureteral Obstruction;D014517
C12.777;Ureterocele;D014518
C13.351;Ureterocele;D014518
C12.777;Urethral Diseases;D014522
C13.351;Urethral Diseases;D014522
C04.588;Urethral Neoplasms;D014523
C12.758;Urethral Neoplasms;D014523
C12.777;Urethral Neoplasms;D014523
C13.351;Urethral Neoplasms;D014523
C12.777;Urethral Obstruction;D014524
C13.351;Urethral Obstruction;D014524
C12.777;Urethral Stricture;D014525
C13.351;Urethral Stricture;D014525
C12.777;Urethritis;D014526
C13.351;Urethritis;D014526
C12.777;Urinary Calculi;D014545
C13.351;Urinary Calculi;D014545
C12.706;Urinary Fistula;D014548
C13.351;Urinary Fistula;D014548
C12.777;Urinary Incontinence;D014549
C13.351;Urinary Incontinence;D014549
C12.777;Urinary Incontinence, Stress;D014550
C13.351;Urinary Incontinence, Stress;D014550
C01.539;Urinary Tract Infections;D014552
C12.777;Urinary Tract Infections;D014552
C13.351;Urinary Tract Infections;D014552
C12.777;Urination Disorders;D014555
C13.351;Urination Disorders;D014555
C12.706;Urogenital Abnormalities;D014564
C13.351;Urogenital Abnormalities;D014564
C16.131;Urogenital Abnormalities;D014564
C04.588;Urogenital Neoplasms;D014565
C12.758;Urogenital Neoplasms;D014565
C13.351;Urogenital Neoplasms;D014565
C12.777;Urologic Diseases;D014570
C13.351;Urologic Diseases;D014570
C04.588;Urologic Neoplasms;D014571
C12.758;Urologic Neoplasms;D014571
C13.351;Urologic Neoplasms;D014571
C17.800;Urticaria;D014581
C20.543;Urticaria;D014581
C04.557;Urticaria Pigmentosa;D014582
C17.800;Urticaria Pigmentosa;D014582
C13.351;Uterine Diseases;D014591
C13.351;Uterine Hemorrhage;D014592
C13.703;Uterine Inertia;D014593
C04.588;Uterine Neoplasms;D014594
C13.351;Uterine Neoplasms;D014594
C13.351;Uterine Perforation;D014595
C26.761;Uterine Perforation;D014595
C13.351;Uterine Prolapse;D014596
C13.351;Uterine Rupture;D014597
C13.703;Uterine Rupture;D014597
C26.761;Uterine Rupture;D014597
C11.941;Uveal Diseases;D014603
C04.588;Uveal Neoplasms;D014604
C11.319;Uveal Neoplasms;D014604
C11.941;Uveal Neoplasms;D014604
C11.941;Uveitis;D014605
C11.941;Uveitis, Anterior;D014606
C10.114;Uveomeningoencephalitic Syndrome;D014607
C10.228;Uveomeningoencephalitic Syndrome;D014607
C11.941;Uveomeningoencephalitic Syndrome;D014607
C20.111;Uveomeningoencephalitic Syndrome;D014607
C15.604;Uveoparotid Fever;D014608
C02.256;Vaccinia;D014615
C13.351;Vaginal Diseases;D014623
C13.351;Vaginal Fistula;D014624
C04.588;Vaginal Neoplasms;D014625
C13.351;Vaginal Neoplasms;D014625
C13.351;Vaginitis;D014627
C12.294;Varicocele;D014646
C14.907;Varicocele;D014646
C14.907;Varicose Ulcer;D014647
C17.800;Varicose Ulcer;D014647
C14.907;Varicose Veins;D014648
C14.907;Vascular Diseases;D014652
C10.228;Vascular Headaches;D014653
C14.907;Vascular Headaches;D014653
C14.907;Vasculitis;D014657
C07.465;Velopharyngeal Insufficiency;D014681
C07.550;Velopharyngeal Insufficiency;D014681
C07.650;Velopharyngeal Insufficiency;D014681
C09.775;Velopharyngeal Insufficiency;D014681
C16.131;Velopharyngeal Insufficiency;D014681
C04.588;Venereal Tumors, Veterinary;D014685
C14.907;Venous Insufficiency;D014689
C14.280;Ventricular Fibrillation;D014693
C14.280;Ventricular Outflow Obstruction;D014694
C10.228;Vertebrobasilar Insufficiency;D014715
C14.907;Vertebrobasilar Insufficiency;D014715
C09.218;Vertigo;D014717
C10.597;Vertigo;D014717
C12.777;Vesico-Ureteral Reflux;D014718
C13.351;Vesico-Ureteral Reflux;D014718
C13.351;Vesicovaginal Fistula;D014719
C02.782;Vesicular Exanthema of Swine;D014720
C01.252;Vibrio Infections;D014735
C02.937;Viremia;D014766
C06.405;Visceral Prolapse;D014782
C10.597;Vision Disorders;D014786
C11.966;Vision Disorders;D014786
C18.654;Vitamin A Deficiency;D014802
C18.654;Vitamin B Deficiency;D014804
C18.654;Vitamin B 12 Deficiency;D014806
C18.654;Vitamin D Deficiency;D014808
C18.654;Vitamin E Deficiency;D014811
C15.378;Vitamin K Deficiency;D014813
C18.654;Vitamin K Deficiency;D014813
C17.800;Vitiligo;D014820
C11.290;Vitreous Hemorrhage;D014823
C08.360;Vocal Cord Paralysis;D014826
C09.400;Vocal Cord Paralysis;D014826
C10.292;Vocal Cord Paralysis;D014826
C10.597;Vocal Cord Paralysis;D014826
C08.360;Voice Disorders;D014832
C09.400;Voice Disorders;D014832
C10.597;Voice Disorders;D014832
C15.378;von Willebrand Diseases;D014842
C16.320;von Willebrand Diseases;D014842
C13.351;Vulvar Diseases;D014845
C04.588;Vulvar Neoplasms;D014846
C13.351;Vulvar Neoplasms;D014846
C13.351;Vulvitis;D014847
C13.351;Vulvovaginitis;D014848
C16.131;Waardenburg Syndrome;D014849
C10.228;Lateral Medullary Syndrome;D014854
C14.907;Lateral Medullary Syndrome;D014854
C02.256;Warts;D014860
C02.825;Warts;D014860
C02.928;Warts;D014860
C04.925;Warts;D014860
C17.800;Warts;D014860
C18.452;Water Intoxication;D014869
C25.723;Water Intoxication;D014869
C18.452;Water-Electrolyte Imbalance;D014883
C01.252;Waterhouse-Friderichsen Syndrome;D014884
C10.228;Waterhouse-Friderichsen Syndrome;D014884
C15.378;Waterhouse-Friderichsen Syndrome;D014884
C19.053;Waterhouse-Friderichsen Syndrome;D014884
C08.381;Wegener Granulomatosis;D014890
C14.907;Wegener Granulomatosis;D014890
C20.111;Wegener Granulomatosis;D014890
C01.252;Weil Disease;D014895
C10.228;Spinal Muscular Atrophies of Childhood;D014897
C10.574;Spinal Muscular Atrophies of Childhood;D014897
C10.668;Spinal Muscular Atrophies of Childhood;D014897
C16.320;Spinal Muscular Atrophies of Childhood;D014897
C16.320;Werner Syndrome;D014898
C18.452;Werner Syndrome;D014898
C10.228;Wernicke Encephalopathy;D014899
C18.452;Wernicke Encephalopathy;D014899
C18.654;Wernicke Encephalopathy;D014899
C25.100;Wernicke Encephalopathy;D014899
C02.081;West Nile Fever;D014901
C02.182;West Nile Fever;D014901
C02.290;West Nile Fever;D014901
C02.782;West Nile Fever;D014901
C10.228;West Nile Fever;D014901
C26.700;Whiplash Injuries;D014911
C01.252;Whooping Cough;D014917
C01.539;Whooping Cough;D014917
C08.730;Whooping Cough;D014917
C15.378;Wiskott-Aldrich Syndrome;D014923
C16.320;Wiskott-Aldrich Syndrome;D014923
C20.673;Wiskott-Aldrich Syndrome;D014923
C05.550;Wissler's Syndrome;D014924
C05.799;Wissler's Syndrome;D014924
C20.543;Wissler's Syndrome;D014924
C14.280;Wolff-Parkinson-White Syndrome;D014927
C16.131;Wolff-Parkinson-White Syndrome;D014927
C09.218;Wolfram Syndrome;D014929
C10.292;Wolfram Syndrome;D014929
C10.574;Wolfram Syndrome;D014929
C10.597;Wolfram Syndrome;D014929
C11.270;Wolfram Syndrome;D014929
C11.640;Wolfram Syndrome;D014929
C11.966;Wolfram Syndrome;D014929
C12.777;Wolfram Syndrome;D014929
C13.351;Wolfram Syndrome;D014929
C16.131;Wolfram Syndrome;D014929
C16.320;Wolfram Syndrome;D014929
C18.452;Wolfram Syndrome;D014929
C19.246;Wolfram Syndrome;D014929
C19.700;Wolfram Syndrome;D014929
C01.539;Wound Infection;D014946
C26.951;Wound Infection;D014946
C26.986;Wounds, Gunshot;D014948
C26.974;Wounds, Nonpenetrating;D014949
C26.986;Wounds, Penetrating;D014950
C26.986;Wounds, Stab;D014951
C26.088;Wrist Injuries;D014954
C15.604;Xanthogranuloma, Juvenile;D014972
C17.800;Xanthogranuloma, Juvenile;D014972
C18.452;Xanthomatosis;D014973
C04.834;Xeroderma Pigmentosum;D014983
C16.131;Xeroderma Pigmentosum;D014983
C16.320;Xeroderma Pigmentosum;D014983
C17.800;Xeroderma Pigmentosum;D014983
C18.452;Xeroderma Pigmentosum;D014983
C11.187;Xerophthalmia;D014985
C11.496;Xerophthalmia;D014985
C07.465;Xerostomia;D014987
C01.252;Yaws;D015001
C01.539;Yaws;D015001
C17.800;Yaws;D015001
C02.081;Yellow Fever;D015004
C02.782;Yellow Fever;D015004
C01.252;Yersinia Infections;D015009
C01.252;Yersinia pseudotuberculosis Infections;D015012
C04.730;Zollinger-Ellison Syndrome;D015043
C06.301;Zollinger-Ellison Syndrome;D015043
C06.405;Zollinger-Ellison Syndrome;D015043
C01.908;Zoonoses;D015047
C02.968;Zoonoses;D015047
C03.908;Zoonoses;D015047
C26.260;Zygomatic Fractures;D015051
C26.404;Zygomatic Fractures;D015051
C10.228;Dementia, Vascular;D015140
C14.907;Dementia, Vascular;D015140
C06.405;Esophageal Motility Disorders;D015154
C06.405;Esophageal Spasm, Diffuse;D015155
C13.703;Hydrops Fetalis;D015160
C15.378;Hydrops Fetalis;D015160
C16.300;Hydrops Fetalis;D015160
C16.320;Hydrops Fetalis;D015160
C20.188;Hydrops Fetalis;D015160
C10.228;Dementia, Multi-Infarct;D015161
C14.907;Dementia, Multi-Infarct;D015161
C01.539;Superinfection;D015163
C02.597;Superinfection;D015163
C03.684;Superinfection;D015163
C26.324;Lightning Injuries;D015168
C04.588;Supratentorial Neoplasms;D015173
C10.228;Supratentorial Neoplasms;D015173
C10.551;Supratentorial Neoplasms;D015173
C04.588;Epidural Neoplasms;D015174
C10.228;Epidural Neoplasms;D015174
C10.551;Epidural Neoplasms;D015174
C04.557;Prolactinoma;D015175
C04.588;Prolactinoma;D015175
C10.228;Prolactinoma;D015175
C19.344;Prolactinoma;D015175
C19.700;Prolactinoma;D015175
C04.588;Colorectal Neoplasms;D015179
C06.301;Colorectal Neoplasms;D015179
C06.405;Colorectal Neoplasms;D015179
C04.588;Infratentorial Neoplasms;D015192
C10.228;Infratentorial Neoplasms;D015192
C10.551;Infratentorial Neoplasms;D015192
C05.550;Osteoarthritis, Hip;D015207
C05.799;Osteoarthritis, Hip;D015207
C26.200;Smoke Inhalation Injury;D015208
C06.130;Cholangitis, Sclerosing;D015209
C05.550;Arthritis, Gouty;D015210
C05.799;Arthritis, Gouty;D015210
C16.320;Arthritis, Gouty;D015210
C18.452;Arthritis, Gouty;D015210
C06.552;Zellweger Syndrome;D015211
C10.228;Zellweger Syndrome;D015211
C12.777;Zellweger Syndrome;D015211
C13.351;Zellweger Syndrome;D015211
C16.131;Zellweger Syndrome;D015211
C16.320;Zellweger Syndrome;D015211
C18.452;Zellweger Syndrome;D015211
C06.405;Inflammatory Bowel Diseases;D015212
C16.320;Cholesterol Ester Storage Disease;D015217
C18.452;Cholesterol Ester Storage Disease;D015217
C05.116;Hyperostosis, Sternocostoclavicular;D015218
C05.799;Hyperostosis, Sternocostoclavicular;D015218
C17.300;Hyperostosis, Sternocostoclavicular;D015218
C16.320;Wolman Disease;D015223
C16.614;Wolman Disease;D015223
C18.452;Wolman Disease;D015223
C18.452;Hypertriglyceridemia;D015228
C02.800;Sexually Transmitted Diseases, Viral;D015229
C01.252;Sexually Transmitted Diseases, Bacterial;D015231
C01.539;Sexually Transmitted Diseases, Bacterial;D015231
C12.294;Sexually Transmitted Diseases, Bacterial;D015231
C13.351;Sexually Transmitted Diseases, Bacterial;D015231
C02.256;Carcinoma, Merkel Cell;D015266
C02.928;Carcinoma, Merkel Cell;D015266
C04.557;Carcinoma, Merkel Cell;D015266
C04.925;Carcinoma, Merkel Cell;D015266
C14.907;Churg-Strauss Syndrome;D015267
C15.604;Churg-Strauss Syndrome;D015267
C20.111;Churg-Strauss Syndrome;D015267
C01.252;Mycobacterium avium-intracellulare Infection;D015270
C15.604;Tumor Lysis Syndrome;D015275
C20.683;Tumor Lysis Syndrome;D015275
C01.539;Discitis;D015299
C05.116;Discitis;D015299
C16.320;Fructose Metabolism, Inborn Errors;D015318
C18.452;Fructose Metabolism, Inborn Errors;D015318
C16.320;Fructose-1,6-Diphosphatase Deficiency;D015319
C18.452;Fructose-1,6-Diphosphatase Deficiency;D015319
C16.320;Pyruvate Metabolism, Inborn Errors;D015323
C18.452;Pyruvate Metabolism, Inborn Errors;D015323
C10.228;Pyruvate Carboxylase Deficiency Disease;D015324
C16.320;Pyruvate Carboxylase Deficiency Disease;D015324
C18.452;Pyruvate Carboxylase Deficiency Disease;D015324
C10.228;Pyruvate Dehydrogenase Complex Deficiency Disease;D015325
C10.597;Pyruvate Dehydrogenase Complex Deficiency Disease;D015325
C16.320;Pyruvate Dehydrogenase Complex Deficiency Disease;D015325
C18.452;Pyruvate Dehydrogenase Complex Deficiency Disease;D015325
C11.496;Dry Eye Syndromes;D015352
C10.597;Vision, Low;D015354
C11.966;Vision, Low;D015354
C11.525;Glaucoma, Neovascular;D015355
C11.768;Retinal Artery Occlusion;D015356
C14.907;Retinal Artery Occlusion;D015356
C18.654;Child Nutrition Disorders;D015362
C04.557;Gastrinoma;D015408
C04.588;Gastrinoma;D015408
C06.301;Gastrinoma;D015408
C06.689;Gastrinoma;D015408
C19.344;Gastrinoma;D015408
C10.500;Hereditary Sensory and Motor Neuropathy;D015417
C10.574;Hereditary Sensory and Motor Neuropathy;D015417
C10.668;Hereditary Sensory and Motor Neuropathy;D015417
C16.131;Hereditary Sensory and Motor Neuropathy;D015417
C16.320;Hereditary Sensory and Motor Neuropathy;D015417
C10.292;Optic Atrophies, Hereditary;D015418
C10.574;Optic Atrophies, Hereditary;D015418
C11.270;Optic Atrophies, Hereditary;D015418
C11.640;Optic Atrophies, Hereditary;D015418
C16.320;Optic Atrophies, Hereditary;D015418
C10.500;Spastic Paraplegia, Hereditary;D015419
C10.574;Spastic Paraplegia, Hereditary;D015419
C10.668;Spastic Paraplegia, Hereditary;D015419
C16.131;Spastic Paraplegia, Hereditary;D015419
C16.320;Spastic Paraplegia, Hereditary;D015419
C11.790;Scleral Diseases;D015422
C11.790;Scleritis;D015423
C14.907;Reperfusion Injury;D015427
C14.280;Myocardial Reperfusion Injury;D015428
C14.907;Myocardial Reperfusion Injury;D015428
C12.777;Glomerulonephritis, Membranoproliferative;D015432
C13.351;Glomerulonephritis, Membranoproliferative;D015432
C20.425;Glomerulonephritis, Membranoproliferative;D015432
C12.777;Glomerulonephritis, Membranous;D015433
C13.351;Glomerulonephritis, Membranous;D015433
C20.111;Glomerulonephritis, Membranous;D015433
C17.300;Panniculitis;D015434
C17.800;Panniculitis;D015434
C17.300;Panniculitis, Lupus Erythematosus;D015435
C17.800;Panniculitis, Lupus Erythematosus;D015435
C06.844;Panniculitis, Peritoneal;D015436
C17.300;Panniculitis, Peritoneal;D015436
C01.252;Leprosy, Borderline;D015439
C01.252;Leprosy, Lepromatous;D015440
C01.252;Leprosy, Tuberculoid;D015441
C04.557;Leukemia, B-Cell;D015448
C15.604;Leukemia, B-Cell;D015448
C20.683;Leukemia, B-Cell;D015448
C04.557;Leukemia, Lymphocytic, Chronic, B-Cell;D015451
C15.604;Leukemia, Lymphocytic, Chronic, B-Cell;D015451
C20.683;Leukemia, Lymphocytic, Chronic, B-Cell;D015451
C04.557;Precursor B-Cell Lymphoblastic Leukemia-Lymphoma;D015452
C15.604;Precursor B-Cell Lymphoblastic Leukemia-Lymphoma;D015452
C20.683;Precursor B-Cell Lymphoblastic Leukemia-Lymphoma;D015452
C04.557;Leukemia, Biphenotypic, Acute;D015456
C15.604;Leukemia, Biphenotypic, Acute;D015456
C20.683;Leukemia, Biphenotypic, Acute;D015456
C04.557;Leukemia, T-Cell;D015458
C15.604;Leukemia, T-Cell;D015458
C20.683;Leukemia, T-Cell;D015458
C04.557;Leukemia-Lymphoma, Adult T-Cell;D015459
C15.604;Leukemia-Lymphoma, Adult T-Cell;D015459
C20.683;Leukemia-Lymphoma, Adult T-Cell;D015459
C04.557;Leukemia, Prolymphocytic, T-Cell;D015461
C15.604;Leukemia, Prolymphocytic, T-Cell;D015461
C20.683;Leukemia, Prolymphocytic, T-Cell;D015461
C04.557;Leukemia, Prolymphocytic;D015463
C15.604;Leukemia, Prolymphocytic;D015463
C20.683;Leukemia, Prolymphocytic;D015463
C04.557;Leukemia, Myelogenous, Chronic, BCR-ABL Positive;D015464
C15.378;Leukemia, Myelogenous, Chronic, BCR-ABL Positive;D015464
C04.557;Leukemia, Myeloid, Accelerated Phase;D015465
C15.378;Leukemia, Myeloid, Accelerated Phase;D015465
C04.557;Leukemia, Myeloid, Chronic-Phase;D015466
C15.378;Leukemia, Myeloid, Chronic-Phase;D015466
C15.378;Leukemia, Neutrophilic, Chronic;D015467
C04.557;Leukemia, Myeloid, Acute;D015470
C04.557;Leukemia, Basophilic, Acute;D015471
C04.557;Leukemia, Eosinophilic, Acute;D015472
C04.557;Leukemia, Promyelocytic, Acute;D015473
C04.557;Leukemia, Myelomonocytic, Chronic;D015477
C15.378;Leukemia, Myelomonocytic, Chronic;D015477
C04.557;Leukemia, Myelomonocytic, Acute;D015479
C02.782;HTLV-I Infections;D015490
C20.673;HTLV-I Infections;D015490
C02.782;HTLV-II Infections;D015491
C20.673;HTLV-II Infections;D015491
C02.182;Paraparesis, Tropical Spastic;D015493
C02.782;Paraparesis, Tropical Spastic;D015493
C10.228;Paraparesis, Tropical Spastic;D015493
C07.465;Salivary Gland Calculi;D015494
C12.777;Renal Tubular Transport, Inborn Errors;D015499
C13.351;Renal Tubular Transport, Inborn Errors;D015499
C16.320;Renal Tubular Transport, Inborn Errors;D015499
C18.452;Renal Tubular Transport, Inborn Errors;D015499
C08.460;Nasal Obstruction;D015508
C08.618;Nasal Obstruction;D015508
C09.603;Nasal Obstruction;D015508
C10.574;Rett Syndrome;D015518
C10.597;Rett Syndrome;D015518
C16.320;Rett Syndrome;D015518
C08.460;Ethmoid Sinusitis;D015521
C08.730;Ethmoid Sinusitis;D015521
C09.603;Ethmoid Sinusitis;D015521
C08.460;Frontal Sinusitis;D015522
C08.730;Frontal Sinusitis;D015522
C09.603;Frontal Sinusitis;D015522
C08.460;Maxillary Sinusitis;D015523
C08.730;Maxillary Sinusitis;D015523
C09.603;Maxillary Sinusitis;D015523
C08.460;Sphenoid Sinusitis;D015524
C08.730;Sphenoid Sinusitis;D015524
C09.603;Sphenoid Sinusitis;D015524
C02.782;AIDS Dementia Complex;D015526
C02.800;AIDS Dementia Complex;D015526
C10.228;AIDS Dementia Complex;D015526
C20.673;AIDS Dementia Complex;D015526
C04.182;Choledochal Cyst;D015529
C06.130;Choledochal Cyst;D015529
C06.198;Choledochal Cyst;D015529
C16.131;Choledochal Cyst;D015529
C05.116;Arthritis, Psoriatic;D015535
C05.550;Arthritis, Psoriatic;D015535
C17.800;Arthritis, Psoriatic;D015535
C05.116;Hyperostosis;D015576
C11.768;Retinal Drusen;D015593
C10.292;Optic Disk Drusen;D015594
C11.640;Optic Disk Drusen;D015594
C03.718;Pregnancy Complications, Parasitic;D015597
C13.703;Pregnancy Complications, Parasitic;D015597
C02.256;Cowpox;D015605
C15.604;Histiocytosis;D015614
C08.381;Cystic Adenomatoid Malformation of Lung, Congenital;D015615
C08.695;Cystic Adenomatoid Malformation of Lung, Congenital;D015615
C16.131;Cystic Adenomatoid Malformation of Lung, Congenital;D015615
C15.604;Histiocytosis, Non-Langerhans-Cell;D015616
C15.604;Histiocytosis, Sinus;D015618
C08.695;Respiratory System Abnormalities;D015619
C16.131;Respiratory System Abnormalities;D015619
C04.557;Histiocytic Disorders, Malignant;D015620
C15.604;Histiocytic Disorders, Malignant;D015620
C04.588;Lambert-Eaton Myasthenic Syndrome;D015624
